month,siteID,stationID,timezone,spaceID,kWhDelivered,MinTemp,MaxTemp,AvgTemp,AvgPrecipitation,AvgHumidity,AvgWindSpeed
2018-05,2,2-39-126-20,America/Los_Angeles,CA-310,209.345,11,32,18.29032258064516,0.0068548387096774,56.45161290322581,9.504032258064516
2018-06,2,2-39-126-20,America/Los_Angeles,CA-310,274.391,14,32,22.433333333333337,0.0,50.483333333333334,9.220833333333331
2018-07,2,2-39-126-20,America/Los_Angeles,CA-310,391.808,17,44,27.548387096774192,0.0,46.76209677419355,8.536290322580646
2018-08,2,2-39-126-20,America/Los_Angeles,CA-310,532.459,18,38,26.516129032258064,0.0,47.41129032258065,8.705645161290322
2018-09,2,2-39-126-20,America/Los_Angeles,CA-310,610.488,17,35,24.533333333333335,0.0,49.204166666666666,7.2875
2018-10,2,2-39-126-20,America/Los_Angeles,CA-310,607.422,14,32,21.06451612903226,0.0213709677419354,47.125,6.241935483870968
2018-11,2,2-39-126-20,America/Los_Angeles,CA-310,132.141,11,32,17.733333333333334,0.0583333333333333,38.8125,6.316666666666666
2018-12,2,2-39-126-20,America/Los_Angeles,CA-310,70.495,5,25,13.225806451612904,0.0673387096774193,44.79032258064516,5.92741935483871
2019-01,2,2-39-126-20,America/Los_Angeles,CA-310,53.831,3,25,12.838709677419354,0.232258064516129,50.44758064516129,6.814516129032258
2019-02,2,2-39-126-20,America/Los_Angeles,CA-310,76.501,3,19,9.892857142857142,0.315625,53.901785714285715,7.026785714285714
2019-03,2,2-39-126-20,America/Los_Angeles,CA-310,84.51,7,28,14.290322580645162,0.0955645161290322,52.42741935483871,7.491935483870968
